Time; Xposition; Yposition; Angle; Speed
0,088;0,000;0,000;90,000;0,000
0,186;0,000;0,000;90,000;0,000
0,282;-0,005;0,000;89,816;-0,073
0,419;-0,015;0,000;89,531;-0,073
0,525;-0,023;0,000;89,327;-0,073
0,597;-0,028;0,000;89,184;-0,073
0,686;-0,034;0,000;89,000;-0,073
0,761;-0,040;0,000;88,837;-0,073
0,858;-0,047;-0,001;88,633;-0,073
0,925;-0,052;-0,001;88,511;-0,073
1,023;-0,059;-0,001;88,307;-0,073
1,086;-0,063;-0,001;88,184;-0,073
1,183;-0,071;-0,001;87,980;-0,073
1,282;-0,078;-0,001;87,776;-0,073
1,386;-0,085;-0,002;87,572;-0,073
1,450;-0,090;-0,002;87,430;-0,073
1,547;-0,098;-0,002;87,226;-0,073
1,881;-0,122;-0,004;86,552;-0,073
1,959;-0,128;-0,004;86,389;-0,073
2,048;-0,134;-0,004;86,206;-0,073
2,129;-0,140;-0,005;86,042;-0,073
2,219;-0,147;-0,005;85,859;-0,073
2,329;-0,155;-0,006;85,634;-0,073
2,418;-0,161;-0,006;85,451;-0,073
2,496;-0,166;-0,007;85,308;-0,073
2,585;-0,173;-0,007;85,124;-0,073
2,673;-0,179;-0,008;84,941;-0,073
2,736;-0,184;-0,008;84,818;-0,073
2,825;-0,190;-0,009;84,635;-0,073
2,915;-0,197;-0,009;84,451;-0,073
3,020;-0,205;-0,010;84,227;-0,073
3,099;-0,211;-0,011;84,064;-0,073
3,193;-0,217;-0,011;83,880;-0,073
3,260;-0,222;-0,012;83,737;-0,073
3,356;-0,229;-0,013;83,554;-0,073
3,425;-0,234;-0,013;83,411;-0,073
3,525;-0,241;-0,014;83,207;-0,073
3,617;-0,248;-0,015;83,003;-0,073
3,697;-0,254;-0,016;82,840;-0,073
3,785;-0,260;-0,016;82,676;-0,073
3,895;-0,268;-0,018;82,452;-0,073
3,960;-0,273;-0,018;82,309;-0,073
4,071;-0,281;-0,019;82,085;-0,073
4,163;-0,287;-0,020;81,901;-0,073
4,257;-0,295;-0,021;81,697;-0,073
4,335;-0,300;-0,022;81,554;-0,073
4,451;-0,308;-0,023;81,310;-0,073
4,523;-0,313;-0,024;81,167;-0,073
4,630;-0,321;-0,025;80,942;-0,073
4,720;-0,328;-0,026;80,759;-0,073
4,811;-0,334;-0,027;80,575;-0,073
4,886;-0,339;-0,028;80,432;-0,073
4,988;-0,347;-0,030;80,208;-0,073
5,068;-0,353;-0,031;80,045;-0,073
5,181;-0,361;-0,032;79,820;-0,073
5,257;-0,367;-0,033;79,657;-0,073
5,354;-0,373;-0,034;79,474;-0,073
5,430;-0,379;-0,035;79,311;-0,073
5,558;-0,388;-0,037;79,045;-0,073
5,659;-0,395;-0,038;78,841;-0,073
5,757;-0,402;-0,040;78,637;-0,073
5,855;-0,409;-0,041;78,454;-0,073
5,953;-0,416;-0,043;78,250;-0,073
6,023;-0,421;-0,044;78,107;-0,073
6,150;-0,430;-0,046;77,842;-0,073
6,252;-0,437;-0,047;77,638;-0,073
6,354;-0,445;-0,049;77,434;-0,073
6,460;-0,452;-0,050;77,209;-0,073
6,583;-0,461;-0,052;76,965;-0,073
6,683;-0,468;-0,054;76,761;-0,073
6,822;-0,478;-0,056;76,475;-0,073
6,921;-0,485;-0,058;76,271;-0,073
7,029;-0,493;-0,060;76,047;-0,073
7,126;-0,499;-0,062;75,863;-0,073
7,231;-0,507;-0,064;75,639;-0,073
7,318;-0,513;-0,065;75,455;-0,073
7,427;-0,521;-0,067;75,251;-0,073
7,523;-0,528;-0,069;75,047;-0,073
7,627;-0,535;-0,071;74,823;-0,073
7,722;-0,542;-0,073;74,639;-0,073
7,827;-0,549;-0,075;74,415;-0,073
7,916;-0,555;-0,076;74,252;-0,073
8,029;-0,563;-0,079;74,007;-0,073
8,120;-0,570;-0,081;73,823;-0,073
8,215;-0,576;-0,082;73,640;-0,073
8,322;-0,584;-0,085;73,415;-0,073
8,431;-0,591;-0,087;73,191;-0,073
8,527;-0,598;-0,089;72,987;-0,073
8,655;-0,607;-0,092;72,742;-0,073
8,728;-0,612;-0,093;72,579;-0,073
8,854;-0,621;-0,096;72,334;-0,073
8,953;-0,628;-0,098;72,130;-0,073
9,053;-0,635;-0,101;71,926;-0,073
9,143;-0,641;-0,103;71,742;-0,073
9,260;-0,649;-0,105;71,498;-0,073
9,352;-0,655;-0,107;71,314;-0,073
9,460;-0,663;-0,110;71,090;-0,073
9,563;-0,670;-0,112;70,886;-0,073
9,676;-0,678;-0,115;70,661;-0,073
9,766;-0,684;-0,117;70,478;-0,073
9,887;-0,692;-0,120;70,233;-0,073
9,961;-0,697;-0,122;70,070;-0,073
10,093;-0,706;-0,125;69,804;-0,073
10,196;-0,713;-0,128;69,600;-0,073
10,302;-0,721;-0,131;69,376;-0,073
10,364;-0,725;-0,132;69,254;-0,073
